run,benchmark,params,mfics,maxmficsize,process,step,initTests,askedTests,benCycles,totalTests,time,precision,recall,f,isomfics,ft,lastTest
1,RUNNING_EXAMPLE_A,3,2,2,MIX,8,8,0,0,8,122,1,1,1,"[{a=true}, {b=true, c=false}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=true, c=true}]"
2,RUNNING_EXAMPLE_A,3,2,2,MIX,8,8,0,0,8,3,1,1,1,"[{a=true}, {b=true, c=false}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=true, b=true, c=true}]"
3,RUNNING_EXAMPLE_A,3,2,2,MIX,8,8,0,0,8,7,1,1,1,"[{a=true}, {b=true, c=false}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=true, b=true, c=true}]"
4,RUNNING_EXAMPLE_A,3,2,2,MIX,7,7,0,0,7,6,1,1,1,"[{a=true}, {b=true, c=false}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=true, c=false}]"
5,RUNNING_EXAMPLE_A,3,2,2,MIX,8,8,0,0,8,3,1,1,1,"[{a=true}, {b=true, c=false}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=true, b=true, c=true}]"
6,RUNNING_EXAMPLE_A,3,2,2,MIX,8,8,0,0,8,4,1,1,1,"[{a=true}, {b=true, c=false}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=true, b=false, c=false}]"
7,RUNNING_EXAMPLE_A,3,2,2,MIX,8,8,0,0,8,7,1,1,1,"[{a=true}, {b=true, c=false}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=false, c=false}]"
8,RUNNING_EXAMPLE_A,3,2,2,MIX,7,7,0,0,7,2,1,1,1,"[{a=true}, {b=true, c=false}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=false, c=true}]"
9,RUNNING_EXAMPLE_A,3,2,2,MIX,7,7,0,0,7,2,1,1,1,"[{a=true}, {b=true, c=false}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=true, c=false}]"
10,RUNNING_EXAMPLE_A,3,2,2,MIX,7,7,0,0,7,3,1,1,1,"[{a=true}, {b=true, c=false}]","[{a=true, c=true}, {a=true, b=false}, {a=true, b=true}, {a=true, c=false}]","[{a=false, b=true, c=false}]"
1,RUNNING_EXAMPLE_B,3,3,3,MIX,8,8,0,0,8,14,1,1,1,"[{a=true, c=true}, {a=true, b=false}, {a=false, b=true, c=false}]","[{a=true, b=false, c=true}, {a=true, b=true, c=true}, {a=true, b=false, c=false}]","[{a=false, b=true, c=false}]"
2,RUNNING_EXAMPLE_B,3,3,3,MIX,8,8,0,0,8,4,1,1,1,"[{a=true, c=true}, {a=true, b=false}, {a=false, b=true, c=false}]","[{a=true, b=false, c=true}, {a=true, b=true, c=true}, {a=true, b=false, c=false}]","[{a=false, b=true, c=false}]"
3,RUNNING_EXAMPLE_B,3,3,3,MIX,8,8,0,0,8,4,1,1,1,"[{a=true, c=true}, {a=true, b=false}, {a=false, b=true, c=false}]","[{a=true, b=false, c=true}, {a=true, b=true, c=true}, {a=true, b=false, c=false}]","[{a=true, b=false, c=true}]"
4,RUNNING_EXAMPLE_B,3,3,3,MIX,8,8,0,0,8,6,1,1,1,"[{a=true, c=true}, {a=true, b=false}, {a=false, b=true, c=false}]","[{a=true, b=false, c=true}, {a=true, b=true, c=true}, {a=true, b=false, c=false}]","[{a=false, b=true, c=false}]"
